"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"1897","Koneisto Make Power Press","Koneisto","KD 2128","Press",NULL,"Press Capacity : 63 Ton
Table Size : 700mm x 450mm
Number of Slide Strokes Per Minute:90
Slide Strokes : 10-100mm
Die Space Adjustment : 80mm","Rabale, Navi Mumbai","Russia",NULL,,
"2008","Wasino Make Notching Corner Cutting and Punching Machine","Wasino","NSD-250","Notching",NULL,"Pressure Capacity : 10 ton
Stroke Length : 24/26mm
Blade Width : 250x250 / 50x150mm
Max. Plate Thickness : 3.2mm
Hydraulic Motor Power : 2.2Kw
Machine Weight : 1300kg","Rabale, Navi Mumbai","Japan",NULL,,
"1710","WMW Make Centreless Grinder","WMW Mikrosa","SASL 3/1AE","Grinder Centreless","10","Grinding Diameter:
 -Min.: 1,5 mm
 -Max.: 140 mm
Max. grinding length for infeed griding: 245 mm
Grinding Wheel:
 -Max. diameter: 630 mm
 -Width: 250 mm
 -Bore: 305 mm
 -Main motor: 35 kW
Regulating wheel:
 -Max. diameter: 315 mm
 -Width: 250 mm
 -Bore: 127 mm
 -Regulating wheel speeds infinitely variable: 10...220 rpm
 -Dressing speed: 480 rpm
 -Driving power: 2,75 kW
 -Axial adjustability: ą10 mm
Total machine weight: 5800 kg","Navi Mumbai","Germany","n","1994"," "
"1990","Graffenstaden Universal Milling","Graffenstaden ","1250x300","Milling Univeersal",NULL,"Table Size : 150mm x 300mm
X Travel : 800mm
Y Travel : 300mm
Vertical Travel : 500mm
Spindle Taper : ISO 50
with Vertical Universal Milling Head
and Side Facing Head","Rabale, Navi Mumbai","Germany",NULL,,
"1871","Alpa Make Hydraulic Surface Grinder Machine","Alpa","RTM 2100","Grinder Surface",NULL,"Max. Grinding Length : 2100mm
Max. Longitudinal Traverse : 2300mm
Width of work surface : 600mm
Max.  Grinding width with wheel engaged : 650mm
Max cross traverse : 600mm
Max. Grinding Height from magnetic check to fine wheel : 500 (700pt)
Grinding Wheel (Ø x width x bore) : 500/450 x 203 x 100mm
Table Size : 2000mm x 600mm
Table Traverse speed per minute : 	3 - 30
Cross Slide Traverse speed per minute : 	0 - 1,6
Cross feed range per stroke : 0,01 - 50
Range of automatic down feed : 0,001 - 0,07
Power of wheel motor : 20 (HP)
Approximate net weight : 13300kg
with Vertical Grinding Attachment
","Rabale, Navi Mumbai","Italy",NULL,,"https://youtu.be/wtyWqylnRSU"
"1211","Russian Make Model 5A312 Gear Hobbing Machine","Russian","5A312","Gear Hobbing","3","Max Diameter : 320 mm
Max module : 6
Weight of Machine : Appx 5500 kg","Navi Mumbai","Russia","n"," ",
"1265","MSO Make Model FM-1000/FHS Angular Grinding Machine","MSO","FM-1000/FHS","Grinder Angular",NULL,"Center Height: 125mm
Swing: 250mm
Between Centre: 750mm
Wheel Dia : 580mm
Wheel Width : 100mm","Navi Mumbai","Germany","n"," "," "
"1322","Electraulic Broaching Machine","Electraulic","15T","Broaching","4","Capacity: 15 Tons
Stroke : 1200mm","Navi Mumbai","UK","n"," ","https://youtu.be/g7HlH4MlG38"
"1993","OM Make Double Column  CNC VTL","OM","2500/3100","VTL",NULL,"Chuck : 2500mm, 
Swing : 3100mm, 
Height : 2500mm
Control Fanuc OT","Rabale, Navi Mumbai","Japan",NULL,,
"1511","Skoda Make Model WD-200A Floor Type Horizontal Boring Mill  ","Skoda ","WD-200A ","Boring Floor",NULL,"Spindle Diameter - 200 MM<br>Ram Size- 520 x 520 MM<br>Vertical Head Travel, Y- 3300 MM<br>Horizontal Column Travel, X - 4500 MM <br>Ram Travel -1600 MM <br>Spindle Travel - 2000 MM<br> Spindle Speeds: 1.5 to 630 RPM<br> Spindle Taper:  #120 Metic W/#50 Adapter <br>Rapid Traverse:  3200 mm/min <br>Feeds: <br>Spindle- 0.5 - 3200 MM <br>Ram - 05 - 3200 MM<br> Vertical - 1 - 3200 MM<br> Longitudinal - 1 - 3200 MM<br><br>Equipped With:<br><br> Rotary table model E20 , size : 2000x2000mm, 20Tons Loading capacity<br>Floor Plates : 3750 x 1250 x 300 MM, 2 Nos.","Navi Mumbai","Germany","n"," "," "
